item,id,source,medium,year,year-binned,company,brand,alcohol_content,main_slogan,secondary_slogan,logo_location,logo_modality,logo_what_words,logo_what_image,multimodal_logo_type,metaphoric_metonymy_motivation,overall_color,comments,hanja,roman,hangul_loan_words,text_count,writing_color,font_style,font_weight,main_slogan_ending,slogan_end_noun,slogan_end_verb,slogan_end_english,slogan_end_nonverbal,secondary_slogan_ending,noun_token,verb_token,english_token,nonverbal_speech_sound_token,additional_comments,background_color,background_type,plants_trees_background,restaurant_background,food_background,additional_comments_background,bottle_presence,bottle_position,bottle_color,bottle_opacity,bottle_shape,bottle_size,neck_height_by_width,body_height_by_width,additional_comments_bottle,model_gender,model_clothing_color,female_bare_shoulders,female_bare_legs,female_bare_cleavage,additional_comments_model,model_bottle_holding_hand,if_holding_bottle_which_hand,holding_glass,hand_on_hips,hourglass_body_shape,body_or_facial_appearance,full_body,camera_shot,additional_comments_body,eye_contact,smile,head_tilt,wink,puckered_lips,hand_on_face,gesture_comments,glass_in_advert,shape_of_glass,glass_comments,vertical_RL_writing,flavoured_soju,flavour,ideophone,ideophone_word_count,sound_object,sound_object_word_count,production_area,overall_comments
233_1999_23_JinRo_Chamjinisulro_001,233,https://newslibrary.naver.com/viewer/index.nhn?articleId=1999050900289119013&editNo=6&printCount=1&publishDate=1999-05-09&officeId=00028&pageNo=19&printNo=3497&publishType=00010,Newspaper,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,1억병 돌파! EN: Over 100 million bottles sold!,고객의 사랑 없이는 꿈꾸지 못할 일이었습니다 EN: We couldn't have dreamt of coming this far without the support of our customers,No logo,NA,NA,NA,NA,,Color,,"Yes, brand","Yes, company",No,170,"Black, red and blue",Print,Light,Noun,돌파,NA,NA,NA,Verb,NA,~니다,NA,NA,,Blue and white,Sea and sky,No,No,No,Bottle label hovering above and reflected on the ocean and sky,Superimposed,Right,Green,Transparent,Long neck,Large,55x129,107x234,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
234_1999_23_JinRo_Chamjinisulro_002,234,https://newslibrary.naver.com/viewer/index.nhn?articleId=1999021100239130007&editNo=1&printCount=1&publishDate=1999-02-11&officeId=00023&pageNo=30&printNo=24290&publishType=00010,Newspaper,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,"왜, 그린소주를 마셨는지 모르겠다 EN: I don't know why I ever drank Green soju","이제, 대나무숯으로 2번 거른 참真이슬露를 드십시오! EN: Now please drink Chamjinisulro, which has been filtered twice using bamboo charcoal",No logo,NA,NA,NA,NA,,Color,,"Yes, brand and scondary slogan","Yes, company",No,78,Green and black,Print,Bold,Verb,NA,반말,NA,NA,Verb,NA,~요,NA,NA,The font style for competitor brand 그린 is used where the slogan refers to the 그린 brand,White,Plain,No,No,No,,Yes,Bottom right,Green,Transparent,Long neck,Lifesize,27x82,57x154,,1 Male,Black and white,NA,NA,NA,"Model appears to be male, although only the hand is shown",Yes,Right,No,NA,NA,Soft,No,Close-up shot,Hand,NA,NA,NA,NA,NA,NA,,Yes,Soju,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,The glass is lying on its side
235_1999_23_JinRo_Chamjinisulro_003,235,https://newslibrary.naver.com/viewer/index.nhn?articleId=1999020500209120015&editNo=45&printCount=1&publishDate=1999-02-05&officeId=00020&pageNo=20&printNo=24111&publishType=00010,Newspaper,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,바꿨다! EN: I've switched!,"부담없는 소주, 참真이슬露로 바꿨다! EN: I've switched to Chamjinisulro, a soju that doesn't burden you!",Top centre,Words and image,Since 1924,Bullfrog,Separate,,Color,,"Yes, brand and scondary slogan","Yes, company",No,55,Green and black,Print,Light,Verb,NA,반말,NA,NA,Verb,NA,반말,NA,NA,,White,Plain,"Yes, plant",No,No,Bamboo stock,Yes,Centre right,Green,Transparent,Long neck,Lifesize,27x82,57x154,One hand is holding a bottle and other is holding a bamboo shoot,2 Males ,Black and white,NA,NA,NA,"Models appears to be male, although only hands are shown",Yes,Right,No,NA,NA,Soft,No,Close-up shot,Hand,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
236_1999_23_JinRo_Chamjinisulro_004,236,https://www.hitejinro.com/socialmedia/library.asp,Wall ad,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,"자랑스러움보다 고마움이 더 앞섭니다 EN: More so than pride, [we] feel grateful. ","처음엔 깨끗한 소주라는 이유만으로 바람을 일으키는 줄 알았습니다. 나중엔 여러분들이 직접 만들어 주신 사랑의 돌풍이란 것을 알았습니다. 깨끗하게 선택해주신 참真이슬露, 더욱 깨끗한 맛으로 보답하겠습니다. EN: At first we thought that it was simply the clean taste of the soju that had caused this whirlwind popularity. Later we released it was all thanks to everyone's love. We will repay your clean choice of Chamjinisulro with an even cleaner taste. ",No logo,NA,NA,NA,NA,The bottle label is superimposed on a picture of a wave to symbolise the wave/gust of popularity the brand is receiving.,Color,,"Yes, brand and scondary slogan","Yes, company",No,142,"Green, blue and white",Print,Light,Verb,NA,~니다,NA,NA,Verb,NA,~니다,NA,NA,,Blue,Wave,"Yes, plant",No,No,Bamboo stock,Superimposed,Bottom right,Green,Transparent,Long neck,Lifesize,35x83,75x165,,No model,NA,NA,NA,NA,There is no model.,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
237_1999_23_JinRo_Chamjinisulro_005,237,https://www.hitejinro.com/socialmedia/library.asp,Wall ad,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,"깨끗한 결정, 새천년 대표소주! EN: The clean choice, the representative soju of the new millenium! ","히트상품 10관왕, 밀레니엄 브랜드 선정, 최단기간 최다판매량 EN: Winner of 10 product popularity awards, voted brand of the [new] millenium, and the highest sales rate. ",No logo,NA,NA,NA,NA,,Color,,"Yes, brand and scondary slogan","Yes, company","Yes, secondary slogan",203,Green and black,Print,Bold,Noun,소주,NA,NA,NA,Noun,매량,NA,NA,NA,,White,Plain,"Yes, plant",No,No,Bamboo image,Superimposed,Bottom right,Green,Transparent,Long neck,Large,50x113,104x231,There is a medal on the bottle,1 Female,White,No,Yes,No,,No,No,No,No,No,Soft,No,Full shot,Shins,Yes,Yes,Side,No,No,Yes,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
238_1999_23_JinRo_Chamjinisulro_006,238,https://www.hitejinro.com/socialmedia/library.asp,Wall ad,1999,1990s,JinRo 진로,Chamjinisulro 참진이슬로,23,"정말 좋죠, 깨끗하니까… EN: It's really good, since it's clean… ","오늘 참真이슬露 한잔하니까 참 좋죠! 우리 사이도 이제 정말 깨끗해진 것 같아요. 참真이슬露가 있는 오늘 저녁이 정말 좋아요, 깨끗하니까… EN: It was great having Chamjinisulro together today! It feels like our relationship has been refreshed too. Tonight has been great... since we had clean Chamjinisulro. ",Top right corner,Words and image,참真이슬露,NA,Separate,,Color,,"Yes, brand","Yes, brand and contact",No,96,Black,Print,Light,Verb,NA,반말,NA,NA,Verb,NA,반말,NA,NA,,White,Brick wall,No,No,No,,Superimposed,Bottom right,Green,Transparent,Long neck,Lifesize,35x83,75x165,,1 Female,White and brown,No,No,No,,No,No,No,No,No,Soft,No,Medium shot,Waist,Yes,Yes,Side,No,No,Yes,,Yes,Soju,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
239_1995_25_PyeongYang_Pyeongyang Soju_001,239,https://newslibrary.naver.com/viewer/index.nhn?articleId=1995021300329106007&editNo=20&printCount=1&publishDate=1995-02-13&officeId=00032&pageNo=6&printNo=15339&publishType=00010,Newspaper,1995,1990s,Pyeongyang 평양,Pyeongyang Soju 평양 소주,25,이름난 술 평양소주 EN: The famous Pyeongyang soju,"대동강 상류의 맑고 깨끗한 물로 빚은 북한의 명주 평양소주 EN: Pyeongyang soju, fine North Korean liquor brewed using the clear and clean water from Taedong River upstream",No logo,NA,NA,NA,NA,,Black and white ,,No,No,No,156,Black,Print and calligraphy,Bold,Noun,소주,NA,NA,NA,Noun,여주,NA,NA,NA,Brand name is written in bold calligraphic font with a buffer and stands out,Black and white,Plain,No,No,No,,Yes,Right,Green and brown,Transparent,Short slanted neck and long narrow body,Lifesize,52x112,90x220,Ad is printed in black and white. Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Pyeongyang (North Korea),
240_2009_19.3_GeumBok_Charm Soju_001,240,https://www.ad.co.kr/ad/print/show.cjsp?ukey=58613,Wall ad,2009,2000s,GeumBok 금복,Charm Soju 참소주,19.3,"좋은 사람과… 깨끗한 아침을 위해, 참소주가 좋습니다. EN: For a clean/refreshing morning with a good person… Charm soju is best. OR For a good person and a clean/refreshing morning… Charm soju is best.",아스파라긴 3배 함유로 깨끗한 아침을! EN: Infused with 3 times more asparagine for a clean/refreshing morning!,Top left corner,Words and image,Kumbokju,Stacked ovals,Separate,,Color,The main slogan could be interpreted in different ways (see translations).,No,"Yes, secondary slogan, company and brand","Yes, secondary slogan",69,Green and black,Print,Light,Verb,NA,~니다,NA,NA,Noun,아침,NA,NA,NA,,Green,Plain,No,No,No,Surface of green glass,Yes,Centre,Green,Transparent,Long neck,Large,92x205,182x421,The brand name 'Charm' is embossed on the bottle.,1 Female,Green,Yes,Yes,Yes,,No,No,No,No,No,Soft,Yes,Full shot,Hands holding up sides of dress as if doing a curtsey,Yes,Yes,Side,No,No,No,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Daegu Metropolitan City,
241_2006_20_Lotte_Chumchurum _001,241,http://blog.daum.net/_blog/BlogTypeView.do?blogid=0dlhg&articleno=3,Wall ad,2006,2000s,LotTe 롯데,Chumchurum 처음처럼 ,20,"그래, 이 맛이다! 소주의 부드러움이란 EN: That's it, that's the flavour! What the softness of soju is (meant to be).",19.5도라 부드럽다. 회전파동공법이라 부드럽다. 알칼리환원水라 부드럽다 EN: It's smooth because it's 19.5 degrees. It's smooth because it's [made using] a rotational vibration method. It's smooth because it's [made using] alkaline reduced water.,Bottom right corner,Word,처음처럼,NA,NA,NA,Color,,"Yes, secondary slogan",No,"Yes, secondary slogan",70,White,Print,Light,Verb,NA,반말,NA,NA,Verb,NA,반말,NA,NA,Company logo is in calligraphic style,Blue,Silky fabric,No,No,No,Blue fabric,Superimposed,Bottom right,Green,Transparent,Long neck,Lifesize,26x46,47x119,Bottle neck slightly shorter?,1 Female,Blue,Yes,No,Yes,,No,No,No,No,No,Soft,No,Medium shot,Waist,No,Yes,No,No,No,No,Hair styled to look as though in the wind.,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
242_2006_20_Lotte_Chumchurum _002,242,http://blog.daum.net/_blog/BlogTypeView.do?blogid=0dlhg&articleno=3,Wall ad,2006,2000s,LotTe 롯데,Chumchurum 처음처럼 ,20,인간은 태어날 때 알칼리였다! EN: Humans were alkaline when they were born (first formed)!,NA,Bottom right corner,Word,처음처럼,NA,NA,NA,Color,,No,No,"Yes, main slogan andsecondary slogan",53,White,Print,Bold,Verb,NA,반말,NA,NA,NA,NA,NA,NA,NA,Company logo is in calligraphic style,Blue,Blank,No,No,No,,Superimposed,Bottom left,Green,Transparent,Long neck,Lifesize,17x36,33x85,Bottle neck slightly shorter?,1 Female,White,Yes,No,Yes,,No,No,No,No,No,Soft,No,Medium shot,Waist,Yes,No,No,No,No,No,Hair styled to look as though in the wind.,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
