item,id,source,medium,year,year-binned,company,brand,alcohol_content,main_slogan,secondary_slogan,logo_location,logo_modality,logo_what_words,logo_what_image,multimodal_logo_type,metaphoric_metonymy_motivation,overall_color,comments,hanja,roman,hangul_loan_words,text_count,writing_color,font_style,font_weight,main_slogan_ending,slogan_end_noun,slogan_end_verb,slogan_end_english,slogan_end_nonverbal,secondary_slogan_ending,noun_token,verb_token,english_token,nonverbal_speech_sound_token,additional_comments,background_color,background_type,plants_trees_background,restaurant_background,food_background,additional_comments_background,bottle_presence,bottle_position,bottle_color,bottle_opacity,bottle_shape,bottle_size,neck_height_by_width,body_height_by_width,additional_comments_bottle,model_gender,model_clothing_color,female_bare_shoulders,female_bare_legs,female_bare_cleavage,additional_comments_model,model_bottle_holding_hand,if_holding_bottle_which_hand,holding_glass,hand_on_hips,hourglass_body_shape,body_or_facial_appearance,full_body,camera_shot,additional_comments_body,eye_contact,smile,head_tilt,wink,puckered_lips,hand_on_face,gesture_comments,glass_in_advert,shape_of_glass,glass_comments,vertical_RL_writing,flavoured_soju,flavour,ideophone,ideophone_word_count,sound_object,sound_object_word_count,production_area,overall_comments
1_1968_30_GeumGok_Geumgok_001,vocal_utterance_word_number,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968120300099206015&editNo=1&printCount=1&publishDate=1968-12-03&officeId=00009&pageNo=6&printNo=839&publishType=00020,Newspaper,1968,1960s,GeumGok 금곡,Geumgok 금곡,30,"날로 品質이 向上되는 금곡소주 EN: Quality that improves everyday, Geumgok soju","한번마시고 다시 찾는 금곡소주로! EN: [Go with] Geumgok soju, one taste will have you coming back for more",Top left corner,Words and image,금곡,Triangle,Merged,,Black and white ,Brand/company name inside logo is warped,"Yes, main slogan,secondary slogan, company, brand and contact","Yes, brand and contact","Yes, secondary slogan",165,White and black,Print,Bold,Noun,소주,NA,NA,NA,Noun,소주,NA,NA,NA,,White,Plain,No,No,No,Coins,No,NA,NA,NA,NA,NA,NA,NA,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Andong (North Gyeongsang Province),
2_1967_30_DaeGwang_Diamond_001,2,https://newslibrary.naver.com/viewer/index.nhn?articleId=1967081600209202027&editNo=2&printCount=1&publishDate=1967-08-16&officeId=00020&pageNo=2&printNo=14102&publishType=00020,Newspaper,1967,1960s,DaeGwang 대광,Diamond 다이야몬드,30,'67 8.15부터 서울市販 開始! EN: To be sold in Seoul from August 15th 1967!,600万원 景品附大壳出 EN: 600 million won worth of prizes to be won,Bottom right corner,Words and image,다이야몬드 소주,Diamon with spokes,Separate,,Black and white ,august 15 is National Liberation Day of Korea. Logo is on drawing of bottle,"Yes, main slogan,secondary slogan, company and contact","Yes, brand and contact","Yes, brand and event",454,White and black,Print,Light,Noun,開始,NA,NA,NA,Noun,大壳出,NA,NA,NA,,White,Plain,No,No,No,Diamond Ring,Superimposed,Centre,Clear,Transparent,Short neck,Lifesize,152x217,231x476,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Busan Metropolitan City,
3_1963_35_DaeJeon_Chungseong_001,3,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963070300239107035&editNo=1&printCount=1&publishDate=1963-07-03&officeId=00023&pageNo=7&printNo=12974&publishType=00010,Newspaper,1963,1960s,DaeJeon 대전,Chungseong 충성,35,"芳香無比 醇良?清酒 EN: An unbeatable scent, a well made? cheongju",歷史와 傳統을 자랑하는 純殼燒酒와 純殼清酒 EN: Pure grain soju and cheongju that prides itself on its history and tradition,Centre,Words,忠誠,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand ",No,No,45,Black,Print,Bold,Noun,清酒,NA,NA,NA,Noun,清酒,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,White,Plain,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Daejeon Metropolitan City,
4_1969_25_MaSan_Muhak_001,4,https://newslibrary.naver.com/viewer/index.nhn?articleId=1969041200099203005&editNo=1&printCount=1&publishDate=1969-04-12&officeId=00009&pageNo=3&printNo=947&publishType=00020,Newspaper,1969,1960s,MaSan마산,Muhak 무학,30,"海外로 輸出하는 馬山名產 舞鶴소주 EN: A Masan specialty product, Muhak soju will be distributed overseas","마셔보면 다시 찾는 무학소주! EN: Muhak soju, one taste will have you coming back for more",Centre ,Words and image,舞鶴釀造場,Cranes,Merged,,Black and white ,,"Yes, main slogan,company, brand and contact","Yes, contact",No,64,White and black,Print,Bold,Noun,소주,NA,NA,NA,Noun,소주,NA,NA,NA,,Black and white,Map of world and cranes flying around a money pouch,"Yes, tree",No,No,"Pine tree, crane, lucky purse and world map",Yes,Centre,Clear,NA,Short neck,Lifesize,37x50,61x117,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Masan (South Gyeongsang Province),
5_1964_35_MiSeong_Miseong_001,5,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964101500239107020&editNo=1&printCount=1&publishDate=1964-10-15&officeId=00023&pageNo=7&printNo=13374&publishType=00010,Newspaper,1964,1960s,MiSeong 미성,MiSeong 미성,35,"소주라면 미성 소주 EN: When it comes to soju, it should be Miseong soju",NA  ,No logo,NA,NA,NA,NA,,Black and white ,,"Yes, brand","Yes, contact",No,13,White and black,Print,Bold,Noun,소주,NA,NA,NA,NA,NA,NA,NA,NA,,White,Plain,No,No,No,,Yes,Centre,Clear,NA,Long neck,Lifesize,16x45,32x72,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Pocheon (Gyeonggi Province),
6_1963_30_BaekYang_Baekyang_001,6,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963120700239105023&editNo=1&printCount=1&publishDate=1963-12-07&officeId=00023&pageNo=5&printNo=13109&publishType=00010,Newspaper,1963,1960s,BaekYang 백양,BaekYang 백양,30,"燒酎界의 No. 1 白羊燒酎 EN: The No. 1 soju, Baekyang soju",한잔에 맛을 알면 잊을수없는 白羊燒酎를 여러분께 권해드립니다! EN: [We] recommend the unforgettable taste of Baekyang soju,No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company, brand and contact","Yes, main slogan and contact",No,252,Black,Print,Bold,Noun,燒酎,NA,NA,NA,Verb,NA,~니다,NA,NA,"Font varies a lot in style, size, and weight",White,Plain,No,No,No,,Yes,Centre right,Clear,Transparent,Short neck,Lifesize,62x114,108x207,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Kwangju Metropolitan City,
7_1963_35_DaeHan_Baekhwa_001,7,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963092900239102026&editNo=1&printCount=1&publishDate=1963-09-29&officeId=00023&pageNo=2&printNo=13050&publishType=00010,Newspaper,1963,1960s,DaeHan 대한,Baekhwa 백화,35,"가을의 膳物! 唯一한 貴族的인 銘酒 壽福票 白花로 EN: The gift for autumn! Baekhwa Subok, the only classy fine liquor","特選 吟釀清酒 壽福票 EN: A specially fermented cheongju, Subok",Centre bottom,Words and image,白花,White flower,Merged,,Black and white ,Logo is on bottle,"Yes, main slogan,secondary slogan, company and brand",No,No,91,Black,Calligraphy,Bold,Noun,白花,NA,NA,NA,Noun,壽福票,NA,NA,NA,,White,Plain,No,No,No,,Yes,Centre left,Brown,NA,Long neck and long narrow body,Lifesize,43x83,104x285,The bottle is a 2D drawing and not a photo of a real bottle.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
8_1964_35_DaeHan_Baekhwa_001,8,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964091700239103007&editNo=1&printCount=1&publishDate=1964-09-17&officeId=00023&pageNo=3&printNo=13350&publishType=00010,Newspaper,1964,1960s,DaeHan 대한,Baekhwa 백화,35,秋夕膳物는 白花로! EN: Gift Baekwa this autumn!,드디어 海外市場에 進出하고 있는 壽福票 白花! EN: Baekhwa Subok is finally being exported overseas!,Top right corner,Words and image,白花  天下의銘酒,White flower,Merged,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,63,Black,Calligraphy and print,Bold,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Font looks like handwriting due to inconsistent size of characters. Brand/company name is in bold calligraphic font and stands out,Black and white,Ring of tiny figures around large bottles,No,No,No,,Yes,Cetnre left,Brown,NA,NA,Large,10x33,25x71,There are six bottles. The bottles are 2D drawings and not photos of real bottles.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
9_1966_30_DaeHan_Baekhwa_001,9,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966092600329205013&editNo=2&printCount=1&publishDate=1966-09-26&officeId=00032&pageNo=5&printNo=6446&publishType=00020,Newspaper,1966,1960s,DaeHan 대한,Baekhwa 백화,30,壽福票 白花 EN: Baekhwa Subok,"秋夕膳物 壽福票 白花 EN: The gift for Chuseok, Baekhwa Subok",Top centre,Words,白花,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,115,Black,Print and calligraphy,Bold,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out,White,Plain,No,No,No,,Yes,Centre left,Brown,Transparent,Long neck and long narrow body,Lifesize,37x91,114x306,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
10_1966_30_DaeHan_Baekhwa_002,10,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966080400239102032&editNo=1&printCount=1&publishDate=1966-08-04&officeId=00023&pageNo=2&printNo=13932&publishType=00010,Newspaper,1966,1960s,DaeHan 대한,Baekhwa 백화,30,壽福票 白花 EN: Baekhwa Subok,"夏節의 真味 壽福票 白花 EN: The real taste of the summer, Baekhwa Subok",Centre,Words and image,白花,White flower,Merged,The brand is marketed as being synonymous with a 'real/genuine' taste,Black and white ,The ad text is inside the flower of the logo,"Yes, main slogan,secondary slogan, company and brand",No,No,106,Black,Print and calligraphy,Light,Noun,白花,NA,NA,NA,Noun,白花,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,Black and white,White flower logo,No,No,"Yes, else",Mushroom,Superimposed,Centre left,Brown,Transparent,Long neck and long narrow body,Lifesize,66x144,173x464,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
11_1967_30_DaeHan_Baekhwa_001,11,https://newslibrary.naver.com/viewer/index.nhn?articleId=1967071500329204005&editNo=2&printCount=1&publishDate=1967-07-15&officeId=00032&pageNo=4&printNo=6694&publishType=00020,Newspaper,1967,1960s,DaeHan 대한,Baekhwa 백화,30,新発壳！！ 白花소주 EN: Now for sale!! Baekhwa soju,特級清酒 壽福票 白花 姐妹品 EN: The sister product of the premium quality cheongju Baekhwa Subok,Bottom left corner,Words and image,白花,White flower,Merged,,Black and white ,Logo is on bottle,"Yes, main slogan,secondary slogan, company and brand","Yes, brand",No,55,Black,Print and calligraphy,Bold,Noun,소주,NA,NA,NA,Noun,姐妹品,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,White,Plain,No,No,No,,Superimposed,Centre left,Brown,Transparent,Long neck and long narrow body,Lifesize,36x140,102x313,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
12_1968_30_DaeHan_Baekhwa_001,12,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968070100209203029&editNo=2&printCount=1&publishDate=1968-07-01&officeId=00020&pageNo=3&printNo=14374&publishType=00020,Newspaper,1968,1960s,DaeHan 대한,Baekhwa 백화,30,"施設에서, 技術에서, 生產에서, 販壳에서, 恒常 第1位를 달리는 EN: Whether it's facilities, technology, or sales… is always leading",NA  ,Centre left/Centre right,Words and image,白花,White flower,Merged,,Black and white ,Logo is also on bottles,"Yes, main slogan,secondary slogan, company and brand",No,No,374,Black,Print and calligraphy,Light,Verb,NA,~니다,NA,NA,NA,NA,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,Black and white,White flower logo,"Yes, plant",No,No,White flower (brand logo),Superimposed,Cetnre left,Brown,Transparent,"Short neck, long neck and long narrow body",Lifesize,59x158,144x305,Two bottles in ad,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
13_1968_30_DaeHan_Baekhwa Subok_001,13,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968010100209204016&editNo=2&printCount=1&publishDate=1968-01-01&officeId=00020&pageNo=4&printNo=14220&publishType=00020,Newspaper,1968,1960s,DaeHan 대한,Baekhwa Subok 백화 수복,30,釀造史上에 빛나는 特選清酒! EN: A special cheongju that stands out in the history of the brewing industry,壽福票 白花 EN: Baekhwa Subok,Bottom centre,Words,白花,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company, brand and contact",No,"Yes, event",267,Black,Print and calligraphy,Light,Noun,清酒,NA,NA,NA,Noun,白花,NA,NA,NA,Brand/company name and new year's greeting is in bold calligraphic font and stands out in contrast,White,Plain,No,No,No,,Yes,Centre right,Brown and white,Transparent and opaque,"Long neck and long narrow body, short neck and wide trapezoid body",Lifesize,50x118,121x246,Two bottles in ad,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,Yes,Other,Round and short,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,Looks like a small handleless Chinese teacup
14_1969_30_DaeHan_Baekhwa Subok_001,14,https://newslibrary.naver.com/viewer/index.nhn?articleId=1969070400209203033&editNo=2&printCount=1&publishDate=1969-07-04&officeId=00020&pageNo=3&printNo=14686&publishType=00020,Newspaper,1969,1960s,DaeHan 대한,Baekhwa Subok 백화 수복,30,"값이 제일 비싸다구요? EN: It's the most expensive, you say?","애주가는 가격으로 술을 선택할까요 아니면 질로 술을 선택할까요? EN: Do alcohol enthusiasts choose their alcohol based on price, or quality?",Bottom right corner,Words and image,白花,White flower,Merged,,Black and white ,,"Yes, brand","Yes, volume",No,204,Black,Print,Light,Verb,NA,~요,NA,NA,Verb,NA,~요,NA,NA,"Height of characters in main slogan varies, creating a wave effect",Black and white,Plain,No,No,No,,Yes,Centre,Brown,Transparent,Long neck and long narrow body,Lifesize,42x127,120x371,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
15_1966_30_BoBae_Bobae_001,15,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966071000239105031&editNo=1&printCount=1&publishDate=1966-07-10&officeId=00023&pageNo=5&printNo=13911&publishType=00010,Newspaper,1966,1960s,BoBae 보배,Bobae 보배,30,高級燒酎는 맛과 향기가 좋아야 합니다 EN: High quality soju needs to taste and smell good,寶盃燒酎의 맛은 寶盃만의 作品입니다 EN: The taste of Bobae soju is one that can only be created by Bobae,Centre ,Words,寶盃 보배,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company, brand and contact",No,"Yes, event",312,Black,Print,Bold,Verb,NA,~니다,NA,NA,Verb,NA,~니다,NA,NA,Hanja characters are bolded,White,Plain,No,No,No,Traditional pot,Yes,Bottom right,Clear,Transparent,Short neck,Lifesize,61x119,124x244,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,Yes,Soju,NA,Yes,No,NA,NA,NA,NA,NA,Iksan (North Jeolla Province),Looks taller and more narrow than typical soju glass today
16_1968_30_SamHak_Samhak_001,16,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968062900329204014&editNo=2&printCount=1&publishDate=1968-06-29&officeId=00032&pageNo=4&printNo=6992&publishType=00020,Newspaper,1968,1960s,SamHak 삼학,Samhak 삼학,30,愛酒家의 愛人 EN: The lover of alcohol enthusiasts,"한번 맛보면 다시찾는 품질좋은 삼학소주 EN: High quality Samhak soju, one taste will have you coming back for more",No logo,NA,NA,NA,NA,The brand is described as the consumer/alcohol enthusiast's lover,Black and white ,,"Yes, main slogan,company and brand ",No,"Yes, company",60,White and black,Print and calligraphy,Bold,Noun,愛人,NA,NA,NA,Noun,소주,NA,NA,NA,"Font varies a lot in style, size, and weight",White,Plain,No,No,No,,Yes,Top centre,Clear,Transparent,"Short neck, long neck and long narrow body",Lifesize,18x40,41x88,Two bottles in ad,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Mokpo (South Jeolla Province),
17_1968_30_SamHak_Samhak_002,17,https://newslibrary.naver.com/viewer/index.nhn?articleId=1968040600329204018&editNo=2&printCount=1&publishDate=1968-04-06&officeId=00032&pageNo=4&printNo=6920&publishType=00020,Newspaper,1968,1960s,SamHak 삼학,Samhak 삼학,30,"賞春과 더불어 人生을 즐길수 있는 三鶴의 製品! EN: A Samhak product for enjoying this spring season, and for enjoying life","한번 맛보면 다시찾는 품질좋은 삼학소주 EN: High quality Samhak soju, one taste will have you coming back for more",No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan,company and brand ",No,"Yes, company",72,White and black,Print and calligraphy,Bold,Noun,製品,NA,NA,NA,Noun,소주,NA,NA,NA,"Font varies a lot in style, size, and weight",White,Plain,No,No,No,,Yes,Left,Clear and brown,Transparent,"Short neck, long neck and long narrow body",Lifesize,28x61,59x134,Two bottles in ad,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Mokpo (South Jeolla Province),
18_1966_30_SamHak_Samhak Daewangpyo_001,18,https://newslibrary.naver.com/viewer/index.nhn?articleId=1966092100209202037&editNo=2&printCount=1&publishDate=1966-09-21&officeId=00020&pageNo=2&printNo=13823&publishType=00020,Newspaper,1966,1960s,SamHak 삼학,Samhak Daewangpyo 삼학대왕표,30,秋夕！존경하는 분에게… 다정한 벗에게…! EN: Chuseok! To the people you admire… to your closest friends… ,"今年度 超特級 清酒 三鶴大王票 EN: This year's super premium cheongju, Samhak Daewangpyo",No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan,company and brand ",No,No,36,White and black,Print,Bold,Noun,벗,NA,NA,NA,Noun,三鶴大王票,NA,NA,NA,Brand/company name is in bold calligraphic font and stands out in contrast,Black and white,Plain,No,No,No,Full moon,Yes,Right,Brown,Transparent,Long neck and long narrow body,Lifesize,31x103,89x246,Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Mokpo (South Jeolla Province),
19_1967_30_SamHak_Samhak Daewangpyo_001,19,https://newslibrary.naver.com/viewer/index.nhn?articleId=1967091100329206023&editNo=2&printCount=1&publishDate=1967-09-11&officeId=00032&pageNo=6&printNo=6743&publishType=00020,Newspaper,1967,1960s,SamHak 삼학,Samhak Daewangpyo 삼학대왕표,30,오붓하고 아담하게 포장된 三鶴大王票！ EN: Lovingly and elegantly packaged Samhak Daewangpyo!,秋夕膳物로서는... '三鶴大王票'가 最高! EN: Samhak Daewangpyo is the best gift for Chuseok!,No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,39,Black,Print,Bold,Noun,三鶴大王票,NA,NA,NA,Noun,最高,NA,NA,NA,Font looks like handwriting due to inconsistent size of characters. Brand/company name is in bold calligraphic font and stands out,Black and white,Sun and crops,"Yes, plant",No,No,Rice field and full moon,Yes,Left,Brown,NA,Long neck and long narrow body,Lifesize,56x161,185x476,The bottle is a 2D drawing and not a photo of a real bottle. Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Mokpo (South Jeolla Province),
20_1969_30_SamHak_Samhak Daewangpyo_001,20,https://newslibrary.naver.com/viewer/index.nhn?articleId=1969122000209202026&editNo=2&printCount=1&publishDate=1969-12-20&officeId=00020&pageNo=2&printNo=14831&publishType=00020,Newspaper,1969,1960s,SamHak 삼학,Samhak Daewangpyo 삼학대왕표,30,"高級化時代의 寵兒 , 사나이의 술! EN: The crowd favourite in this era of modernisation, a man's drink!","特級清酒 三鶴大王票 EN: Premium cheongju, Samhak Daewangpyo",No logo,NA,NA,NA,NA,"Directly targeting males, it is a 'real/tough' man's drink",Black and white ,,"Yes, main slogan,secondary slogan, company and brand",No,No,218,White and black,Print,Light,Noun,술,NA,NA,NA,Noun,三鶴大王票,NA,NA,NA,"Font varies a lot in style, size, and weight",White,Plain,No,No,No,,Yes,Left,Brown,Transparent,Long neck,Lifesize,35x155,132x345,Photoshopped image of bottle too low resolution to tell opacity. Looks like a wine bottle,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Mokpo (South Jeolla Province),
21_1960_35_SeoGwang_Jinro_001,21,https://newslibrary.naver.com/viewer/index.nhn?articleId=1960060100209102024&editNo=2&printCount=1&publishDate=1960-06-01&officeId=00020&pageNo=2&printNo=11744&publishType=00010,Newspaper,1960,1960s,SeoGwang 서광,Jinro 진로,35,"酒質이 나뿐 값산 술로 胃腸을 害치지말고! EN: Don't harm your health with cheap, low quality alcohol!","名聲이 높은 高級소주 真露를!! EN: [Choose] Jinro, a well-reputed high quality soju",No logo,NA,NA,NA,NA,,Black and white ,,"Yes, main slogan and brand ",No,No,29,Black,Print,Bold,Verb,NA,반말,NA,NA,Noun,真露,NA,NA,NA,Font looks like messy handwriting due to inconsistent size and style of characters,White,Plain,No,No,No,,No,NA,NA,NA,NA,NA,NA,NA,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,No,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
22_1963_30_SeoGwang_Jinro_001,22,https://newslibrary.naver.com/viewer/index.nhn?articleId=1963101200239107031&editNo=1&printCount=1&publishDate=1963-10-12&officeId=00023&pageNo=7&printNo=13061&publishType=00010,Newspaper,1963,1960s,SeoGwang 서광,Jinro 진로,35,"여러분의 소주 真味의 真露! EN: Your soju, the real taste, Jinro!",여러분 소주란 어떤 맛이 있는가 아세요? EN: Do you know what kind of taste soju has?,Top right corner,Image,NA,Frog holding bottle,NA,The brand is marketed as being synonymous with a 'real/genuine' taste,Black and white ,,"Yes, main slogan,secondary slogan, company and brand","Yes, contact",No,146,White and black,Print,Light,Noun,真露,NA,NA,NA,Verb,NA,~요,NA,NA,,White,Toad logo,No,No,No,Toad mascot (company logo),Yes,Left,Clear and brown,NA,Long neck and wide body,Lifesize,65x100,170x237,There are two bottles. The bottles are 2D drawings and not photos of real bottles.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,Yes,Soju,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,Drawn with wonky lines and coloured in to make it look like there is alcohol inside
23_1964_35_SeoGwang_Jinro_001,23,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964041700239107029&editNo=1&printCount=1&publishDate=1964-04-17&officeId=00023&pageNo=7&printNo=13219&publishType=00010,Newspaper,1964,1960s,SeoGwang 서광,Jinro 진로,35,"새로운 商標에 새로운 真味!! EN: A new logo, a new authentic taste!!","여러분의 아낌없는 사랑을 받어오는 ""진미의 真露""는 이번에 새로운 상표와 보다 낳은 酎质로서 여러분을 모시고져 하오니 培前의 愛用과 지도 편달을 바랍니다 EN: ""The real taste, Jinro"", which has received a lot of generous love, will be serving you under a new label and improved quality. We hope for your continued love and support.",Top right corner,Image,NA,Frog holding bottle,NA,,Black and white ,,"Yes, main slogan,secondary slogan, company and brand","Yes, event",No,143,Black,Print,Light,Noun,真味,NA,NA,NA,Verb,NA,~니다,NA,NA,,White,Plain,No,No,"Yes, fruit and else","Chest nut, pomegranate and meat",Yes,Centre,Clear and brown,Transparent,Short neck,Lifesize,34x113,114x238,,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,No,NA,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,
24_1964_35_SeoGwang_Jinro_002,24,https://newslibrary.naver.com/viewer/index.nhn?articleId=1964101300209205014&editNo=2&printCount=1&publishDate=1964-10-13&officeId=00020&pageNo=5&printNo=13222&publishType=00020,Newspaper,1964,1960s,SeoGwang 서광,Jinro 진로,35,"이른아침의 참 이슬 <真露>  EN: The fresh dew of early dawn, Jinro","9月은 진미의 季節, 真味의 ""真露는"" 여러분에게 흥겨운 가을을 마시게 한답니다 EN: September is the season of authentic taste. Drink the real taste of Jinro for a merry autmn",Bottom right corner,Words,真露,NA,NA,Precursor to the Chamisul name - the hanja for Jinro means 'real dew',Black and white ,,"Yes, main slogan,secondary slogan, company and brand","Yes, brand",No,109,White and black,Print,Light,Noun,真露,NA,NA,NA,Verb,NA,~니다,NA,NA,,White,Toad logo,No,No,No,Toad mascot (company logo),Yes,Centre,Clear,NA,"Long neck and long narrow body, short neck and wide trapezoid body",Lifesize,30x63,64x142,There are two bottles. The bottles are 2D drawings and not photos of real bottles.,No model,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,Yes,Soju,NA,Yes,No,NA,NA,NA,NA,NA,Seoul Metropolitan City,Drawn with wonky lines and coloured in to make it look like there is alcohol inside
